;UK3;FR3;SW3;IT3;DE4
01.01.2008;NA;6.18;NA;16.75;5.8875
01.02.2008;NA;7.175;NA;28.25;5.75
01.03.2008;NA;10.8;NA;35;9.075
01.04.2008;NA;8.5;NA;29.5;7.2
01.05.2008;NA;5.125;NA;16.5;4.825
01.06.2008;NA;5.875;NA;18;4.575
01.07.2008;NA;7.675;NA;28.75;5.075
01.08.2008;NA;7.925;NA;27.5;6.575
01.09.2008;NA;8.175;NA;28.25;7.125
01.10.2008;NA;9.9;NA;37;11.2
01.11.2008;NA;38;60.75;100;29
01.12.2008;91;49.75;114;140;34.78879
01.01.2009;95;48.36938;113;151;43.02385
01.02.2009;118;62.07895;84.64729;145;54.96109
01.03.2009;138;70.75;131.4126;165;75.24203
01.04.2009;110;44.92856;92.37378;126;49.61507
01.05.2009;81;28.17856;59.70872;75;32.19048
01.06.2009;71;28.17;50.20999;79;32.28
01.07.2009;55;22;48;56;24.5
01.08.2009;32;17;35;36;19.5
01.09.2009;40;14;41;53;18
01.10.2009;28;15;35;41;17.5
01.11.2009;34.20999;14.02;39.17999;41.67;17.37
01.12.2009;49.17;19.50999;35.17999;49.15999;20.01999
01.01.2010;57.10999;24;36.17;72.04999;23.00999
01.02.2010;58.59;43.97206;30.15862;86.0049;30.49953
01.03.2010;63.09917;43.9593;24.21759;104.9566;36.97435
01.04.2010;55.2011;35.96729;17.20535;100.7459;27.00441
01.05.2010;50.18703;47.92299;21.66286;118.9043;30.97153
01.06.2010;61.11549;51.88077;16.67188;194.7572;26.97989
01.07.2010;57.14999;62.82999;22.71999;149.81;28.95999
01.08.2010;35.23999;30.92;17.73999;83.92;21.46999
01.09.2010;47.15999;44.89999;17.68999;157.7;23.95999
01.10.2010;43.17999;46.87;14.19;129.65;15.98
01.11.2010;33.2;32.90999;9.16;103.64;13.49
01.12.2010;47.12999;56.84999;15.11;156.33;28.42999
01.01.2011;48.12999;63.70999;14.14;164.19;35.39
01.02.2011;37.21999;47.24699;11.223;90.63499;33.37399
01.03.2011;30.82399;45.245;11.863;96.211;29.10199
01.04.2011;27.27899;31.66599;6.536;59.86699;20.48599
01.05.2011;31.23999;31.77199;10.185;73.49399;21.411
01.06.2011;29.325;26.392;8.165;88.185;17.577
01.07.2011;30.81;29.92999;11.21;107.8;17.87999
01.08.2011;44.17999;72.30099;26.101;274.8809;37.45099
01.09.2011;50.27199;112.488;33.16199;313.3728;44.57799
01.10.2011;64.48099;125.777;40.05899;408.2939;68.55399
01.11.2011;59.146;125.379;31.196;449.4089;54.56499
01.12.2011;54.48999;94.56;53.70999;400.97;54.12
01.01.2012;66.10999;123.57;49.62;424.8499;53.89
01.02.2012;45.25;81.67999;30.90999;314.8198;35.15999
01.03.2012;26.60999;72.39999;24.98;264.9399;26.53
01.04.2012;25.73;69.79999;17.06;279.6899;21.48999
01.05.2012;24.87;89.75999;31.10999;349.1799;29.51999
01.06.2012;33.31999;81.75;36.73;481.3198;37.95
01.07.2012;27.40999;63.31999;28.42;374.96;25.62
01.08.2012;17.25;51.51999;20.90999;383.9399;17.64999
01.09.2012;15.5;40.56999;12.84;337.8499;18.06
01.10.2012;20.618;34.34299;10.272;211.424;18.642
01.11.2012;6.98;9.95;5.13;171.52;10.07
01.12.2012;9.514;16.47899;6.83;139.861;9.731
01.01.2013;19.7;25.18999;5.04;183.81;15.2
01.02.2013;28.20999;26.13199;4.542;160.529;17.909
01.03.2013;24.823;21.43399;7.673;187.185;15.443
01.04.2013;23.96599;24.46399;8.518;202.425;14.058
01.05.2013;25.27199;19.728;6.828;161.811;13.253
01.06.2013;26.114;21.952;5.551;170.481;9.857
01.07.2013;30.34999;28.10999;7.24;186.76;11.81
01.08.2013;18.87999;16.84;7.21;163.3;7.14
01.09.2013;19.75;20.09999;5.9;149.66;10.17
01.10.2013;16.34;17.87;5.48;165.81;7.27
01.11.2013;15.22;13.71;3.96;124.2;5.2
01.12.2013;13.89;13.94;4.39;110.36;8.82
01.01.2014;15.32;16.06;6.01;106.13;10.58
01.02.2014;15.12;19.25999;4.96;114.81;11.34
01.03.2014;15.81;17.46999;5.09;91.98999;11.06
01.04.2014;11.39;15.81;4.68;74.37999;9.55
01.05.2014;10.27;14.34;5.24;67.37999;9.35
01.06.2014;10.47;11.46;5.23;69.09;9.68
01.07.2014;8.84;13.94;4.57;62.06;9.67
01.08.2014;8.82;16.71999;5.86;71.31999;10.6
01.09.2014;9.46;13.95;5.49;59.37;9.22
01.10.2014;8.68;16.03;5.49;59.84;8.15
01.11.2014;8.65;22.62;4.9;74.7;8.93
01.12.2014;8.97;19.81999;4.82;68.03;8.58
01.01.2015;8.52;18.59999;5.34;86.51999;6.65
01.02.2015;11.59;18.09999;5.63;67.90999;6.1
01.03.2015;8.72;13.98;5.62;64.06;5.61
01.04.2015;11.11;13.46;4.76;68.45999;5.2
01.05.2015;10.46;10.26;4.66;72.67;5.86
01.06.2015;8.06;10.31;5.95;74.09;5.84
01.07.2015;9.15;13.19;5;85.15999;6.54
